PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked,Age_range,Fare_category
73,0,2,0,0,0,0.0,1,3
74,0,3,0,1,0,1.0,1,2
75,1,3,0,0,0,0.0,1,3
76,0,3,0,0,0,0.0,1,0
77,0,3,0,0,0,0.0,0,0
78,0,3,0,0,0,0.0,0,1
79,1,2,0,0,2,0.0,0,2
80,1,3,1,0,0,0.0,1,1
81,0,3,0,0,0,0.0,1,1
82,1,3,0,0,0,0.0,1,1
83,1,3,1,0,0,2.0,0,0
84,0,1,0,0,0,0.0,1,3
85,1,2,1,0,0,0.0,1,1
86,1,3,1,3,0,0.0,2,2
87,0,3,0,1,3,0.0,0,3
88,0,3,0,0,0,0.0,0,1
89,1,1,1,3,2,0.0,1,3
90,0,3,0,0,0,0.0,1,1
91,0,3,0,0,0,0.0,1,1
92,0,3,0,0,0,0.0,1,0
93,0,1,0,1,0,0.0,2,3
94,0,3,0,1,2,0.0,1,2
95,0,3,0,0,0,0.0,3,0
96,0,3,0,0,0,0.0,0,1
97,0,1,0,0,0,1.0,4,3
98,1,1,0,0,1,1.0,1,3
99,1,2,1,0,1,0.0,2,2
100,0,2,0,1,0,0.0,2,2
101,0,3,1,0,0,0.0,1,0
102,0,3,0,0,0,0.0,0,0
103,0,1,0,0,1,0.0,1,3
104,0,3,0,0,0,0.0,2,1
105,0,3,0,2,0,0.0,2,1
106,0,3,0,0,0,0.0,1,0
107,1,3,1,0,0,0.0,1,0
108,1,3,0,0,0,0.0,0,0
109,0,3,0,0,0,0.0,2,0
110,1,3,1,1,0,2.0,0,2
111,0,1,0,0,0,0.0,2,3
112,0,3,1,1,0,1.0,0,2
113,0,3,0,0,0,0.0,1,1
114,0,3,1,1,0,0.0,1,1
115,0,3,1,0,0,1.0,1,2
116,0,3,0,0,0,0.0,1,1
117,0,3,0,0,0,2.0,4,0
118,0,2,0,1,0,0.0,1,2
119,0,1,0,0,1,1.0,1,3
120,0,3,1,4,2,0.0,0,3
121,0,2,0,2,0,0.0,1,3
122,0,3,0,0,0,0.0,0,1
123,0,2,0,1,0,1.0,2,2
124,1,2,1,0,0,0.0,2,1
125,0,1,0,0,1,0.0,3,3
126,1,3,0,1,0,1.0,0,1
127,0,3,0,0,0,2.0,0,0
128,1,3,0,0,0,0.0,1,0
129,1,3,1,1,1,1.0,0,2
130,0,3,0,0,0,0.0,2,0
131,0,3,0,0,0,1.0,2,0
132,0,3,0,0,0,0.0,1,0
133,0,3,1,1,0,0.0,2,2
134,1,2,1,1,0,0.0,1,2
135,0,2,0,0,0,0.0,1,1
136,0,2,0,0,0,1.0,1,2
137,1,1,1,0,2,0.0,1,2
138,0,1,0,1,0,0.0,2,3
139,0,3,0,0,0,0.0,0,1
140,0,1,0,0,0,1.0,1,3
141,0,3,1,0,2,1.0,0,2
142,1,3,1,0,0,0.0,1,0
143,1,3,1,1,0,0.0,1,2
144,0,3,0,0,0,2.0,1,0
145,0,2,0,0,0,0.0,1,1
146,0,2,0,1,1,0.0,1,3
147,1,3,0,0,0,0.0,1,0
148,0,3,1,2,2,0.0,0,3
149,0,2,0,0,2,0.0,2,2
150,0,2,0,0,0,0.0,2,1
151,0,2,0,0,0,0.0,3,1
152,1,1,1,1,0,0.0,1,3
153,0,3,0,0,0,0.0,3,1
154,0,3,0,0,2,0.0,2,2
155,0,3,0,0,0,0.0,0,0
156,0,1,0,0,1,1.0,3,3
157,1,3,1,0,0,2.0,0,0
158,0,3,0,0,0,0.0,1,1
159,0,3,0,0,0,0.0,0,1
160,0,3,0,8,2,0.0,0,3
161,0,3,0,0,1,0.0,2,2
162,1,2,1,0,0,0.0,2,2
163,0,3,0,0,0,0.0,1,0
164,0,3,0,0,0,0.0,1,1
165,0,3,0,4,1,0.0,0,3
166,1,3,0,0,2,0.0,0,2
167,1,1,1,0,1,0.0,0,3
168,0,3,1,1,4,0.0,2,2
169,0,1,0,0,0,0.0,0,2
170,0,3,0,0,0,0.0,1,3
171,0,1,0,0,0,0.0,3,3
172,0,3,0,4,1,2.0,0,2
173,1,3,1,1,1,0.0,0,1
174,0,3,0,0,0,0.0,1,1
175,0,1,0,0,0,1.0,3,2
176,0,3,0,1,1,0.0,1,0
177,0,3,0,3,1,0.0,0,2
178,0,1,1,0,0,1.0,3,2
179,0,2,0,0,0,0.0,1,1
180,0,3,0,0,0,0.0,2,0
181,0,3,1,8,2,0.0,0,3
182,0,2,0,0,0,1.0,0,2
183,0,3,0,4,2,0.0,0,3
184,1,2,0,2,1,0.0,0,3
185,1,3,1,0,2,0.0,0,2
186,0,1,0,0,0,0.0,0,3
187,1,3,1,1,0,2.0,0,2
188,1,1,0,0,0,0.0,2,2
189,0,3,0,1,1,2.0,2,2
190,0,3,0,0,0,0.0,2,0
191,1,2,1,0,0,0.0,1,1
192,0,2,0,0,0,0.0,1,1
193,1,3,1,1,0,0.0,1,0
194,1,2,0,1,1,0.0,0,2
195,1,1,1,0,0,1.0,2,2
196,1,1,1,0,0,1.0,3,3
197,0,3,0,0,0,2.0,0,0
198,0,3,0,0,1,0.0,2,1
199,1,3,1,0,0,2.0,0,0
200,0,2,1,0,0,0.0,1,1
201,0,3,0,0,0,0.0,1,1
202,0,3,0,8,2,0.0,0,3
203,0,3,0,0,0,0.0,2,0
204,0,3,0,0,0,1.0,2,0
205,1,3,0,0,0,0.0,1,1
206,0,3,1,0,1,0.0,0,1
207,0,3,0,1,0,0.0,1,2
208,1,3,0,0,0,1.0,1,2
209,1,3,1,0,0,2.0,0,0
210,1,1,0,0,0,1.0,2,2
211,0,3,0,0,0,0.0,1,0
212,1,2,1,0,0,0.0,2,2
213,0,3,0,0,0,0.0,1,0
214,0,2,0,0,0,0.0,1,1
215,0,3,0,1,0,2.0,0,0
216,1,1,1,1,0,1.0,1,3
217,1,3,1,0,0,0.0,1,1
218,0,2,0,1,0,0.0,2,2
219,1,1,1,0,0,1.0,1,3
220,0,2,0,0,0,0.0,1,1
221,1,3,0,0,0,0.0,0,1
222,0,2,0,0,0,0.0,1,1
223,0,3,0,0,0,0.0,3,1
224,0,3,0,0,0,0.0,0,0
225,1,1,0,1,0,0.0,2,3
226,0,3,0,0,0,0.0,1,1
227,1,2,0,0,0,0.0,1,1
228,0,3,0,0,0,0.0,1,0
229,0,2,0,0,0,0.0,1,1
230,0,3,1,3,1,0.0,0,2
231,1,1,1,1,0,0.0,2,3
232,0,3,0,0,0,0.0,1,0
233,0,2,0,0,0,0.0,3,1
234,1,3,1,4,2,0.0,0,3
235,0,2,0,0,0,0.0,1,1
236,0,3,1,0,0,0.0,0,0
237,0,2,0,1,0,0.0,2,2
238,1,2,1,0,2,0.0,0,2
239,0,2,0,0,0,0.0,1,1
240,0,2,0,0,0,0.0,2,1
241,0,3,1,1,0,1.0,0,2
242,1,3,1,1,0,2.0,0,2
243,0,2,0,0,0,0.0,1,1
244,0,3,0,0,0,0.0,1,0
245,0,3,0,0,0,1.0,1,0
246,0,1,0,2,0,2.0,2,3
247,0,3,1,0,0,0.0,1,0
248,1,2,1,0,2,0.0,1,2
249,1,1,0,1,1,0.0,2,3
250,0,2,0,1,0,0.0,3,2
251,0,3,0,0,0,0.0,0,0
252,0,3,1,1,1,0.0,1,1
253,0,1,0,0,0,0.0,3,2
254,0,3,0,1,0,0.0,1,2
255,0,3,1,0,2,0.0,2,2
256,1,3,1,0,2,1.0,1,2
257,1,1,1,0,0,1.0,0,3
258,1,1,1,0,0,0.0,1,3
259,1,1,1,0,0,1.0,2,0
260,1,2,1,0,1,0.0,3,2
261,0,3,0,0,0,2.0,0,0
262,1,3,0,4,2,0.0,0,3
263,0,1,0,1,1,0.0,3,3
264,0,1,0,0,0,0.0,2,0
265,0,3,1,0,0,2.0,0,0
266,0,2,0,0,0,0.0,2,1
267,0,3,0,4,1,0.0,0,3
268,1,3,0,1,0,0.0,1,0
269,1,1,1,0,1,0.0,3,3
270,1,1,1,0,0,0.0,2,3
271,0,1,0,0,0,0.0,0,2
272,1,3,0,0,0,0.0,1,0
273,1,2,1,0,1,0.0,2,2
274,0,1,0,0,1,1.0,2,2
275,1,3,1,0,0,2.0,0,0
276,1,1,1,1,0,0.0,3,3
277,0,3,1,0,0,0.0,2,0
278,0,2,0,0,0,0.0,0,0
279,0,3,0,4,1,2.0,0,2
280,1,3,1,1,1,0.0,2,2
281,0,3,0,0,0,2.0,4,0
282,0,3,0,0,0,0.0,1,0
283,0,3,0,0,0,0.0,0,1
284,1,3,0,0,0,0.0,1,1
285,0,1,0,0,0,0.0,0,2
286,0,3,0,0,0,1.0,2,1
287,1,3,0,0,0,0.0,1,1
288,0,3,0,0,0,0.0,1,0
289,1,2,0,0,0,0.0,2,1
290,1,3,1,0,0,2.0,1,0
291,1,1,1,0,0,0.0,1,3
292,1,1,1,1,0,1.0,1,3
293,0,2,0,0,0,1.0,2,1
294,0,3,1,0,0,0.0,1,1
295,0,3,0,0,0,0.0,1,0
296,0,1,0,0,0,1.0,0,2
297,0,3,0,0,0,1.0,1,0
298,0,1,1,1,2,0.0,0,3
299,1,1,0,0,0,0.0,0,2
300,1,1,1,0,1,1.0,3,3
301,1,3,1,0,0,2.0,0,0
302,1,3,0,2,0,2.0,0,2
303,0,3,0,0,0,0.0,1,0
304,1,2,1,0,0,2.0,0,1
305,0,3,0,0,0,0.0,0,1
306,1,1,0,1,2,0.0,0,3
307,1,1,1,0,0,1.0,0,3
308,1,1,1,1,0,1.0,1,3
309,0,2,0,1,0,1.0,1,2
310,1,1,1,0,0,1.0,1,3
311,1,1,1,0,0,1.0,1,3
312,1,1,1,2,2,1.0,1,3
313,0,2,1,1,1,0.0,1,2
314,0,3,0,0,0,0.0,1,0
315,0,2,0,1,1,0.0,2,2
316,1,3,1,0,0,0.0,1,0
317,1,2,1,1,0,0.0,1,2
318,0,2,0,0,0,0.0,3,1
319,1,1,1,0,2,0.0,1,3
320,1,1,1,1,1,1.0,2,3
321,0,3,0,0,0,0.0,1,0
322,0,3,0,0,0,0.0,1,0
323,1,2,1,0,0,2.0,1,1
324,1,2,1,1,1,0.0,1,2
325,0,3,0,8,2,0.0,0,3
326,1,1,1,0,0,1.0,2,3
327,0,3,0,0,0,0.0,3,0
328,1,2,1,0,0,0.0,2,1
329,1,3,1,1,1,0.0,1,2
330,1,1,1,0,1,1.0,0,3
331,1,3,1,2,0,2.0,0,2
332,0,1,0,0,0,0.0,2,2
333,0,1,0,0,1,0.0,2,3
334,0,3,0,2,0,0.0,0,2
335,1,1,1,1,0,0.0,0,3
336,0,3,0,0,0,0.0,0,0
337,0,1,0,1,0,0.0,1,3
338,1,1,1,0,0,1.0,2,3
339,1,3,0,0,0,0.0,2,1
340,0,1,0,0,0,0.0,2,3
341,1,2,0,1,1,0.0,0,2
342,1,1,1,3,2,0.0,1,3
343,0,2,0,0,0,0.0,1,1
344,0,2,0,0,0,0.0,1,1
345,0,2,0,0,0,0.0,2,1
346,1,2,1,0,0,0.0,1,1
347,1,2,1,0,0,0.0,2,1
348,1,3,1,1,0,0.0,0,2
349,1,3,0,1,1,0.0,0,2
350,0,3,0,0,0,0.0,2,1
351,0,3,0,0,0,0.0,1,1
352,0,1,0,0,0,0.0,0,3
353,0,3,0,1,1,1.0,0,0
354,0,3,0,1,0,0.0,1,2
355,0,3,0,0,0,1.0,0,0
356,0,3,0,0,0,0.0,1,1
357,1,1,1,0,1,0.0,1,3
358,0,2,1,0,0,0.0,2,1
359,1,3,1,0,0,2.0,0,0
360,1,3,1,0,0,2.0,0,0
361,0,3,0,1,4,0.0,2,2
362,0,2,0,1,0,1.0,1,2
363,0,3,1,0,1,1.0,2,2
364,0,3,0,0,0,0.0,2,0
365,0,3,0,1,0,2.0,0,2
366,0,3,0,0,0,0.0,1,0
367,1,1,1,1,0,1.0,3,3
368,1,3,1,0,0,1.0,0,0
369,1,3,1,0,0,2.0,0,0
370,1,1,1,0,0,1.0,1,3
371,1,1,0,1,0,1.0,1,3
372,0,3,0,1,0,0.0,1,0
373,0,3,0,0,0,0.0,1,1
374,0,1,0,0,0,1.0,1,3
375,0,3,1,3,1,0.0,0,2
376,1,1,1,1,0,1.0,0,3
377,1,3,1,0,0,0.0,1,0
378,0,1,0,0,2,1.0,1,3
379,0,3,0,0,0,1.0,1,0
380,0,3,0,0,0,0.0,1,0
381,1,1,1,0,0,1.0,2,3
382,1,3,1,0,2,1.0,0,2
383,0,3,0,0,0,0.0,1,1
384,1,1,1,1,0,0.0,2,3
385,0,3,0,0,0,0.0,0,0
386,0,2,0,0,0,0.0,1,3
387,0,3,0,5,2,0.0,0,3
388,1,2,1,0,0,0.0,2,1
389,0,3,0,0,0,2.0,0,0
390,1,2,1,0,0,1.0,1,1
391,1,1,0,1,2,0.0,2,3
392,1,3,0,0,0,0.0,1,0
393,0,3,0,2,0,0.0,1,1
394,1,1,1,1,0,1.0,1,3
395,1,3,1,0,2,0.0,1,2
396,0,3,0,0,0,0.0,1,0
397,0,3,1,0,0,0.0,1,0
398,0,2,0,0,0,0.0,2,2
399,0,2,0,0,0,0.0,1,1
400,1,2,1,0,0,0.0,1,1
401,1,3,0,0,0,0.0,2,1
402,0,3,0,0,0,0.0,1,1
403,0,3,1,1,0,0.0,1,1
404,0,3,0,1,0,0.0,1,2
405,0,3,1,0,0,0.0,1,1
406,0,2,0,1,0,0.0,2,2
407,0,3,0,0,0,0.0,3,0
408,1,2,0,1,1,0.0,0,2
409,0,3,0,0,0,0.0,1,0
410,0,3,1,3,1,0.0,0,2
411,0,3,0,0,0,0.0,0,0
412,0,3,0,0,0,2.0,0,0
413,1,1,1,1,0,2.0,2,3
414,0,2,0,0,0,0.0,0,0
415,1,3,0,0,0,0.0,2,1
416,0,3,1,0,0,0.0,0,1
417,1,2,1,1,1,0.0,2,3
418,1,2,1,0,2,0.0,1,1
419,0,2,0,0,0,0.0,1,1
420,0,3,1,0,2,0.0,0,2
421,0,3,0,0,0,1.0,0,0
422,0,3,0,0,0,2.0,1,0
423,0,3,0,0,0,0.0,1,0
424,0,3,1,1,1,0.0,1,1
425,0,3,0,1,1,0.0,1,2
426,0,3,0,0,0,0.0,0,0
427,1,2,1,1,0,0.0,1,2
428,1,2,1,0,0,0.0,1,2
429,0,3,0,0,0,2.0,0,0
430,1,3,0,0,0,0.0,1,1
431,1,1,0,0,0,0.0,1,2
432,1,3,1,1,0,0.0,0,2
433,1,2,1,1,0,0.0,2,2
434,0,3,0,0,0,0.0,1,0
435,0,1,0,1,0,0.0,3,3
436,1,1,1,1,2,0.0,0,3
437,0,3,1,2,2,0.0,1,3
438,1,2,1,2,3,0.0,1,2
439,0,1,0,1,4,0.0,3,3
440,0,2,0,0,0,0.0,1,1
441,1,2,1,1,1,0.0,2,2
442,0,3,0,0,0,0.0,1,1
443,0,3,0,1,0,0.0,1,0
444,1,2,1,0,0,0.0,1,1
445,1,3,0,0,0,0.0,0,1
446,1,1,0,0,2,0.0,0,3
447,1,2,1,0,1,0.0,0,2
448,1,1,0,0,0,0.0,2,2
449,1,3,1,2,1,1.0,0,2
450,1,1,0,0,0,0.0,3,2
451,0,2,0,1,2,0.0,2,2
452,0,3,0,1,0,0.0,0,2
453,0,1,0,0,0,1.0,1,2
454,1,1,0,1,0,1.0,3,3
455,0,3,0,0,0,0.0,0,1
456,1,3,0,0,0,1.0,1,0
457,0,1,0,0,0,0.0,4,2
458,1,1,1,1,0,0.0,0,3
459,1,2,1,0,0,0.0,3,1
460,0,3,0,0,0,2.0,0,0
461,1,1,0,0,0,0.0,2,2
462,0,3,0,0,0,0.0,2,1
463,0,1,0,0,0,0.0,2,3
464,0,2,0,0,0,0.0,2,1
465,0,3,0,0,0,0.0,0,1
466,0,3,0,0,0,0.0,2,0
467,0,2,0,0,0,0.0,0,0
468,0,1,0,0,0,0.0,3,2
469,0,3,0,0,0,2.0,0,0
470,1,3,1,2,1,1.0,0,2
471,0,3,0,0,0,0.0,0,0
472,0,3,0,0,0,0.0,2,1
473,1,2,1,1,2,0.0,2,2
474,1,2,1,0,0,1.0,1,1
475,0,3,1,0,0,0.0,1,1
476,0,1,0,0,0,0.0,0,3
477,0,2,0,1,0,0.0,2,2
478,0,3,0,1,0,0.0,1,0
479,0,3,0,0,0,0.0,1,0
480,1,3,1,0,1,0.0,0,1
481,0,3,0,5,2,0.0,0,3
482,0,2,0,0,0,0.0,0,0
483,0,3,0,0,0,0.0,3,1
484,1,3,1,0,0,0.0,3,1
485,1,1,0,1,0,1.0,1,3
486,0,3,1,3,1,0.0,0,2
487,1,1,1,1,0,0.0,2,3
488,0,1,0,0,0,1.0,3,2
489,0,3,0,0,0,0.0,1,1
490,1,3,0,1,1,0.0,0,2
491,0,3,0,1,0,0.0,0,2
492,0,3,0,0,0,0.0,1,0
493,0,1,0,0,0,0.0,3,2
494,0,1,0,0,0,1.0,4,3
495,0,3,0,0,0,0.0,1,1
496,0,3,0,0,0,1.0,0,2
497,1,1,1,1,0,1.0,3,3
498,0,3,0,0,0,0.0,0,2
499,0,1,1,1,2,0.0,1,3
500,0,3,0,0,0,0.0,1,0
501,0,3,0,0,0,0.0,1,1
502,0,3,1,0,0,2.0,1,0
503,0,3,1,0,0,2.0,0,0
504,0,3,1,0,0,0.0,2,1
505,1,1,1,0,0,0.0,0,3
506,0,1,0,1,0,1.0,1,3
507,1,2,1,0,2,0.0,2,2
508,1,1,0,0,0,0.0,0,2
509,0,3,0,0,0,0.0,1,2
510,1,3,0,0,0,0.0,1,3
511,1,3,0,0,0,2.0,1,0
512,0,3,0,0,0,0.0,0,1
513,1,1,0,0,0,0.0,2,2
514,1,1,1,1,0,1.0,3,3
515,0,3,0,0,0,0.0,1,0
516,0,1,0,0,0,0.0,2,3
517,1,2,1,0,0,0.0,2,1
518,0,3,0,0,0,2.0,0,2
519,1,2,1,1,0,0.0,2,2
520,0,3,0,0,0,0.0,1,0
521,1,1,1,0,0,0.0,1,3
522,0,3,0,0,0,0.0,1,0
523,0,3,0,0,0,1.0,0,0
524,1,1,1,0,1,1.0,2,3
525,0,3,0,0,0,1.0,0,0
526,0,3,0,0,0,2.0,2,0
527,1,2,1,0,0,0.0,3,1
528,0,1,0,0,0,0.0,0,3
529,0,3,0,0,0,0.0,2,1
530,0,2,0,2,1,0.0,1,1
531,1,2,1,1,1,0.0,0,2
532,0,3,0,0,0,1.0,0,0
533,0,3,0,1,1,1.0,1,0
534,1,3,1,0,2,1.0,0,2
535,0,3,1,0,0,0.0,1,1
536,1,2,1,0,2,0.0,0,2
537,0,1,0,0,0,0.0,2,2
538,1,1,1,0,0,1.0,1,3
539,0,3,0,0,0,0.0,0,2
540,1,1,1,0,2,1.0,1,3
541,1,1,1,0,2,0.0,2,3
542,0,3,1,4,2,0.0,0,3
543,0,3,1,4,2,0.0,0,3
544,1,2,0,1,0,0.0,1,2
545,0,1,0,1,0,1.0,3,3
546,0,1,0,0,0,0.0,3,2
547,1,2,1,1,0,0.0,1,2
548,1,2,0,0,0,1.0,0,1
549,0,3,0,1,1,0.0,2,2
550,1,2,0,1,1,0.0,0,3
551,1,1,0,0,2,1.0,1,3
552,0,2,0,0,0,0.0,1,2
553,0,3,0,0,0,2.0,0,0
554,1,3,0,0,0,1.0,1,0
555,1,3,1,0,0,0.0,1,0
556,0,1,0,0,0,0.0,3,2
557,1,1,1,1,0,1.0,2,3
558,0,1,0,0,0,1.0,0,3
559,1,1,1,1,1,0.0,2,3
560,1,3,1,1,0,0.0,2,2
561,0,3,0,0,0,2.0,0,0
562,0,3,0,0,0,0.0,2,0
563,0,2,0,0,0,0.0,1,1
564,0,3,0,0,0,0.0,0,1
565,0,3,1,0,0,0.0,0,1
566,0,3,0,2,0,0.0,1,2
567,0,3,0,0,0,0.0,1,0
568,0,3,1,0,4,0.0,1,2
569,0,3,0,0,0,1.0,0,0
570,1,3,0,0,0,0.0,1,0
571,1,2,0,0,0,0.0,3,1
572,1,1,1,2,0,0.0,3,3
573,1,1,0,0,0,0.0,2,2
574,1,3,1,0,0,2.0,0,0
575,0,3,0,0,0,0.0,0,1
576,0,3,0,0,0,0.0,1,2
577,1,2,1,0,0,0.0,2,1
578,1,1,1,1,0,0.0,2,3
579,0,3,1,1,0,1.0,0,2
580,1,3,0,0,0,0.0,1,1
581,1,2,1,1,1,0.0,1,2
582,1,1,1,1,1,1.0,2,3
583,0,2,0,0,0,0.0,3,2
584,0,1,0,0,0,1.0,2,3
585,0,3,0,0,0,1.0,0,1
586,1,1,1,0,2,0.0,1,3
587,0,2,0,0,0,0.0,2,2
588,1,1,0,1,1,1.0,3,3
589,0,3,0,0,0,0.0,1,1
590,0,3,0,0,0,0.0,0,1
591,0,3,0,0,0,0.0,2,0
592,1,1,1,1,0,1.0,3,3
593,0,3,0,0,0,0.0,2,0
594,0,3,1,0,2,2.0,0,0
595,0,2,0,1,0,0.0,2,2
596,0,3,0,1,1,0.0,2,2
597,1,2,1,0,0,0.0,0,3
598,0,3,0,0,0,0.0,3,0
599,0,3,0,0,0,1.0,0,0
600,1,1,0,1,0,1.0,3,3
601,1,2,1,2,1,0.0,1,2
602,0,3,0,0,0,0.0,0,0
603,0,1,0,0,0,0.0,0,3
604,0,3,0,0,0,0.0,2,1
605,1,1,0,0,0,1.0,2,2
606,0,3,0,1,0,0.0,2,2
607,0,3,0,0,0,0.0,1,0
608,1,1,0,0,0,0.0,1,2
609,1,2,1,1,2,1.0,1,3
610,1,1,1,0,0,0.0,2,3
611,0,3,1,1,5,0.0,2,3
612,0,3,0,0,0,0.0,0,0
613,1,3,1,1,0,2.0,0,2
614,0,3,0,0,0,2.0,0,0
615,0,3,0,0,0,0.0,2,1
616,1,2,1,1,2,0.0,1,3
617,0,3,0,1,1,0.0,2,1
618,0,3,1,1,0,0.0,1,2
619,1,2,1,2,1,0.0,0,3
620,0,2,0,0,0,0.0,1,1
621,0,3,0,1,0,1.0,1,2
622,1,1,0,1,0,0.0,2,3
623,1,3,0,1,1,1.0,1,2
624,0,3,0,0,0,0.0,1,0
625,0,3,0,0,0,0.0,1,2
626,0,1,0,0,0,0.0,3,3
627,0,2,0,0,0,2.0,3,1
628,1,1,1,0,0,0.0,1,3
629,0,3,0,0,0,0.0,1,0
630,0,3,0,0,0,2.0,0,0
631,1,1,0,0,0,0.0,4,2
632,0,3,0,0,0,0.0,3,0
633,1,1,0,0,0,1.0,1,2
634,0,1,0,0,0,0.0,0,0
635,0,3,1,3,2,0.0,0,2
636,1,2,1,0,0,0.0,1,1
637,0,3,0,0,0,0.0,1,1
638,0,2,0,1,1,0.0,1,2
639,0,3,1,0,5,0.0,2,3
640,0,3,0,1,0,0.0,0,2
641,0,3,0,0,0,0.0,1,0
642,1,1,1,0,0,1.0,1,3
643,0,3,1,3,2,0.0,0,2
644,1,3,0,0,0,0.0,0,3
645,1,3,1,2,1,1.0,0,2
646,1,1,0,1,0,1.0,2,3
647,0,3,0,0,0,0.0,1,0
648,1,1,0,0,0,1.0,3,3
649,0,3,0,0,0,0.0,0,0
650,1,3,1,0,0,0.0,1,0
651,0,3,0,0,0,0.0,0,0
652,1,2,1,0,1,0.0,1,2
653,0,3,0,0,0,0.0,1,1
654,1,3,1,0,0,2.0,0,0
655,0,3,1,0,0,2.0,1,0
656,0,2,0,2,0,0.0,1,3
657,0,3,0,0,0,0.0,0,0
658,0,3,1,1,1,2.0,1,2
659,0,2,0,0,0,0.0,1,1
660,0,1,0,0,2,1.0,3,3
661,1,1,0,2,0,0.0,3,3
662,0,3,0,0,0,1.0,2,0
663,0,1,0,0,0,0.0,2,2
664,0,3,0,0,0,0.0,2,0
665,1,3,0,1,0,0.0,1,1
666,0,2,0,2,0,0.0,1,3
667,0,2,0,0,0,0.0,1,1
668,0,3,0,0,0,0.0,0,0
669,0,3,0,0,0,0.0,2,1
670,1,1,1,1,0,0.0,0,3
671,1,2,1,1,1,0.0,2,3
672,0,1,0,1,0,0.0,1,3
673,0,2,0,0,0,0.0,4,1
674,1,2,0,0,0,0.0,1,1
675,0,2,0,0,0,0.0,0,0
676,0,3,0,0,0,0.0,1,0
677,0,3,0,0,0,0.0,1,1
678,1,3,1,0,0,0.0,1,1
679,0,3,1,1,6,0.0,2,3
680,1,1,0,0,1,1.0,2,0
681,0,3,1,0,0,2.0,0,1
682,1,1,0,0,0,1.0,1,3
683,0,3,0,0,0,0.0,1,1
684,0,3,0,5,2,0.0,0,3
685,0,2,0,1,1,0.0,3,3
686,0,2,0,1,2,1.0,1,3
687,0,3,0,4,1,0.0,0,3
688,0,3,0,0,0,0.0,1,1
689,0,3,0,0,0,0.0,1,0
690,1,1,1,0,1,0.0,0,3
691,1,1,0,1,0,0.0,1,3
692,1,3,1,0,1,1.0,0,1
693,1,3,0,0,0,0.0,0,3
694,0,3,0,0,0,1.0,1,0
695,0,1,0,0,0,0.0,3,2
